date,open,high,low,close,adj_close,volume
1990-01-02,11.5,11.78125,11.46875,11.65625,4.465671062469482,849600
1990-01-03,11.6875,11.8125,11.6875,11.75,4.501585960388184,1785200
1990-01-04,11.625,11.625,11.40625,11.5,4.405810356140137,1471200
1990-01-05,11.4375,11.46875,11.25,11.25,4.310030937194824,1050800
1990-01-08,11.25,11.4375,11.25,11.3125,4.3339762687683105,680000
1990-01-09,11.34375,11.46875,11.28125,11.3125,4.3339762687683105,776000
1990-01-10,11.125,11.15625,10.9375,11.09375,4.250168800354004,702800
1990-01-11,11.125,11.15625,10.90625,11.0,4.2142558097839355,1208400
1990-01-12,10.8125,10.96875,10.6875,10.6875,4.094529628753662,707600
1990-01-15,10.4375,10.59375,10.3125,10.375,3.974806070327759,1298800
1990-01-16,10.1875,10.75,10.125,10.75,4.118474960327148,1355600
1990-01-17,10.8125,10.9375,10.6875,10.8125,4.14241886138916,2706800
1990-01-18,10.75,11.0,10.5,10.65625,4.082555294036865,3792800
1990-01-19,10.875,11.125,10.78125,11.0625,4.238194465637207,2429200
1990-01-22,11.125,11.15625,10.875,10.875,4.166360855102539,1362800
1990-01-23,10.90625,11.09375,10.90625,11.09375,4.250168800354004,1023600
1990-01-24,11.0,11.0,10.8125,10.96875,4.2022809982299805,1580400
1990-01-25,10.9375,11.0625,10.9375,10.9375,4.190310955047607,480800
1990-01-26,10.875,10.90625,10.5625,10.75,4.118474960327148,824800
1990-01-29,10.75,10.75,10.46875,10.625,4.070586204528809,899600
1990-01-30,10.5625,10.5625,10.1875,10.21875,3.9149441719055176,940800
1990-01-31,10.15625,10.5,10.15625,10.5,4.022696018218994,1434400
1990-02-01,10.5625,10.59375,10.3125,10.34375,3.9628326892852783,1309600
1990-02-02,10.3125,10.71875,10.25,10.71875,4.106502532958984,1500000
1990-02-05,10.71875,10.71875,10.5,10.5,4.022696018218994,490400
1990-02-06,10.4375,10.4375,10.3125,10.375,3.974806070327759,979200
1990-02-07,10.25,10.5625,10.1875,10.5625,4.046640872955322,851200
1990-02-08,10.5,10.53125,10.375,10.4375,3.9987494945526123,1348800
1990-02-09,10.40625,10.5625,10.375,10.53125,4.034670352935791,1039200
1990-02-12,10.5,10.625,10.46875,10.53125,4.034670352935791,939600
1990-02-13,10.5,10.59375,10.46875,10.5,4.022696018218994,1687600
1990-02-14,10.5,10.65625,10.46875,10.65625,4.082555294036865,789600
1990-02-15,10.59375,10.96875,10.59375,10.9375,4.190310955047607,825200
1990-02-16,11.0,11.25,11.0,11.1875,4.2860846519470215,2972800
1990-02-20,11.0625,11.0625,10.9375,11.03125,4.226225852966309,2726400
1990-02-21,10.84375,11.0625,10.8125,10.96875,4.2022809982299805,863600
1990-02-22,11.0,11.28125,11.0,11.09375,4.250168800354004,1263200
1990-02-23,11.03125,11.15625,10.90625,11.0,4.2142558097839355,942800
1990-02-26,10.9375,11.03125,10.9375,11.0,4.248046398162842,797200
1990-02-27,10.9375,11.21875,10.9375,11.21875,4.332521915435791,948800
1990-02-28,11.15625,11.28125,11.0625,11.125,4.296318054199219,795600
1990-03-01,11.03125,11.21875,11.03125,11.15625,4.3083882331848145,1000800
1990-03-02,11.15625,11.5,11.15625,11.5,4.441135883331299,930800
1990-03-05,11.53125,11.625,11.4375,11.46875,4.4290690422058105,1546000
1990-03-06,11.4375,11.4375,11.25,11.375,4.392864227294922,2353200
1990-03-07,11.3125,11.375,11.28125,11.34375,4.380792140960693,800400
1990-03-08,11.1875,11.1875,10.78125,10.90625,4.21183967590332,6367600
1990-03-09,10.5,10.5,10.1875,10.375,4.00667667388916,9583200
1990-03-12,10.4375,10.5,10.3125,10.34375,3.994607448577881,2523600
1990-03-13,10.34375,10.34375,10.125,10.15625,3.922199249267578,2272400
1990-03-14,10.125,10.15625,9.84375,10.0625,3.885993242263794,3680000
1990-03-15,10.09375,10.21875,10.09375,10.125,3.9101316928863525,867600
1990-03-16,10.375,10.375,10.09375,10.125,3.9101316928863525,1942000
1990-03-19,10.0625,10.125,9.96875,10.0625,3.885993242263794,624800
1990-03-20,10.0,10.0625,9.9375,9.96875,3.849787950515747,1190800
1990-03-21,9.96875,10.0625,9.46875,9.9375,3.8377203941345215,862000
1990-03-22,9.75,9.84375,9.625,9.625,3.7170372009277344,2560800
1990-03-23,9.5,9.75,9.46875,9.6875,3.7411744594573975,2236000
1990-03-26,9.6875,9.9375,9.6875,9.90625,3.8256545066833496,669600
1990-03-27,9.90625,9.96875,9.8125,9.9375,3.8377203941345215,834800
1990-03-28,9.9375,9.96875,9.84375,9.875,3.813584089279175,495200
1990-03-29,9.84375,9.875,9.75,9.78125,3.777381420135498,527600
1990-03-30,9.78125,9.78125,9.5625,9.6875,3.7411744594573975,697600
1990-04-02,9.625,9.65625,9.46875,9.5625,3.692901134490967,1032800
1990-04-03,9.5625,9.6875,9.5625,9.625,3.7170372009277344,751600
1990-04-04,9.25,9.53125,9.25,9.4375,3.6446292400360107,1815200
1990-04-05,9.40625,9.40625,9.03125,9.03125,3.4877407550811768,1321200
1990-04-06,8.9375,9.0,8.46875,8.84375,3.415330410003662,3821200
1990-04-09,8.84375,9.0625,8.84375,9.03125,3.4877407550811768,1013200
1990-04-10,9.125,9.4375,9.09375,9.40625,3.6325597763061523,3070000
1990-04-11,9.5,9.53125,9.40625,9.4375,3.6446292400360107,942000
1990-04-12,9.46875,9.5,9.40625,9.40625,3.6325597763061523,842000
1990-04-16,9.40625,9.46875,9.25,9.25,3.572218418121338,914400
1990-04-17,9.21875,9.625,9.1875,9.34375,3.6084225177764893,2101600
1990-04-18,9.28125,9.4375,9.28125,9.34375,3.6084225177764893,1252400
1990-04-19,9.3125,9.40625,9.28125,9.3125,3.5963571071624756,915200
1990-04-20,9.3125,9.375,9.28125,9.28125,3.5842859745025635,359600
1990-04-23,9.28125,9.28125,9.1875,9.25,3.572218418121338,754400
1990-04-24,9.25,9.40625,9.1875,9.25,3.572218418121338,728000
1990-04-25,9.21875,9.25,9.0,9.125,3.523946762084961,1064800
1990-04-26,9.125,9.25,9.125,9.21875,3.5601511001586914,1223600
1990-04-27,9.28125,9.34375,9.25,9.3125,3.5963571071624756,581600
1990-04-30,9.34375,9.53125,9.3125,9.5,3.668764114379883,1665200
1990-05-01,9.5,9.8125,9.5,9.71875,3.753241777420044,1420000
1990-05-02,9.6875,9.8125,9.65625,9.8125,3.7894465923309326,1543600
1990-05-03,9.8125,10.0625,9.8125,10.0,3.861856460571289,1844800
1990-05-04,10.0,10.0625,9.8125,9.875,3.813584089279175,1494000
1990-05-07,9.875,10.0,9.875,9.9375,3.8377203941345215,950800
1990-05-08,9.875,9.875,9.6875,9.75,3.7653110027313232,891200
1990-05-09,9.75,9.75,9.625,9.6875,3.7411744594573975,1158800
1990-05-10,9.625,9.71875,9.59375,9.65625,3.729106903076172,2725600
1990-05-11,9.71875,9.90625,9.6875,9.84375,3.801518678665161,4104800
1990-05-14,9.875,10.0625,9.84375,9.875,3.813584089279175,1138400
1990-05-15,9.875,9.9375,9.84375,9.90625,3.8256545066833496,522400
1990-05-16,9.875,9.90625,9.78125,9.84375,3.801518678665161,356800
1990-05-17,9.875,10.0,9.75,9.875,3.813584089279175,1471600
1990-05-18,9.90625,9.90625,9.6875,9.8125,3.7894465923309326,592000
1990-05-21,9.78125,9.9375,9.75,9.84375,3.801518678665161,804000
1990-05-22,9.84375,9.90625,9.65625,9.65625,3.729106903076172,1893200
1990-05-23,9.625,9.71875,9.59375,9.6875,3.7411744594573975,622400
1990-05-24,9.71875,9.71875,9.4375,9.46875,3.65669584274292,515600
1990-05-25,9.375,9.375,9.1875,9.25,3.605536937713623,2882000
1990-05-29,9.3125,9.34375,9.28125,9.3125,3.6299004554748535,852400
1990-05-30,9.34375,9.5,9.3125,9.4375,3.678621530532837,2757200
1990-05-31,9.4375,9.84375,9.4375,9.6875,3.7760682106018066,1388000
1990-06-01,9.75,9.96875,9.6875,9.96875,3.8856966495513916,3808000
1990-06-04,9.96875,10.5625,9.9375,10.5,4.092772960662842,1788000
1990-06-05,10.6875,10.9375,10.65625,10.875,4.238941192626953,1918400
1990-06-06,10.9375,11.0625,10.8125,10.8125,4.214581489562988,2442400
1990-06-07,10.75,10.75,10.25,10.25,3.995326042175293,1609600
1990-06-08,10.1875,10.34375,10.15625,10.34375,4.03186559677124,701200
1990-06-11,10.25,10.34375,10.21875,10.34375,4.03186559677124,1185200
1990-06-12,10.3125,10.40625,10.28125,10.375,4.04404878616333,866800
1990-06-13,10.375,10.40625,9.96875,10.09375,3.9344213008880615,1222400
1990-06-14,9.8125,9.875,9.40625,9.4375,3.678621530532837,2285200
1990-06-15,9.46875,9.84375,9.25,9.8125,3.824793815612793,2229600
1990-06-18,9.78125,9.84375,9.53125,9.59375,3.739528179168701,1094000
1990-06-19,9.625,9.78125,9.53125,9.5625,3.727346420288086,1215200
1990-06-20,9.5625,9.59375,9.25,9.40625,3.666443109512329,782800
1990-06-21,9.40625,9.65625,9.40625,9.59375,3.739528179168701,1152800
1990-06-22,9.53125,9.5625,9.40625,9.4375,3.678621530532837,1153600
1990-06-25,9.40625,9.46875,9.40625,9.4375,3.678621530532837,626400
1990-06-26,9.4375,9.46875,9.125,9.125,3.556814670562744,1072800
1990-06-27,9.1875,9.34375,9.1875,9.25,3.605536937713623,557600
1990-06-28,9.28125,9.375,9.28125,9.34375,3.642077684402466,1091600
1990-06-29,9.34375,9.40625,9.28125,9.375,3.6542625427246094,916400
1990-07-02,9.375,9.40625,9.25,9.28125,3.6177191734313965,386800
1990-07-03,9.28125,9.28125,9.125,9.125,3.556814670562744,922800
1990-07-05,9.0,9.0,8.8125,8.90625,3.471548080444336,1280000
1990-07-06,8.9375,9.25,8.90625,9.25,3.605536937713623,626800
1990-07-09,9.25,9.25,8.96875,9.0,3.5080902576446533,1019200
1990-07-10,8.96875,8.96875,8.65625,8.71875,3.3984625339508057,1042400
1990-07-11,8.6875,8.75,8.5,8.65625,3.3740999698638916,2616400
1990-07-12,8.71875,8.71875,8.40625,8.59375,3.349740743637085,2015600
1990-07-13,8.625,8.71875,8.5625,8.6875,3.386282205581665,1510400
1990-07-16,8.6875,9.25,8.6875,9.125,3.556814670562744,1484400
1990-07-17,9.375,9.625,9.34375,9.46875,3.690803050994873,1907200
1990-07-18,9.46875,9.46875,9.25,9.375,3.6542625427246094,1720400
1990-07-19,9.34375,9.375,9.25,9.28125,3.6177191734313965,1326400
1990-07-20,9.28125,9.34375,9.1875,9.1875,3.5811750888824463,667200
1990-07-23,9.15625,9.1875,8.90625,9.0625,3.5324525833129883,923600
1990-07-24,9.0625,9.0625,8.875,9.0,3.5080902576446533,542400
1990-07-25,9.0,9.0625,8.9375,9.0625,3.5324525833129883,1638400
1990-07-26,9.09375,9.125,8.96875,9.03125,3.520271062850952,1413200
1990-07-27,8.9375,9.03125,8.90625,9.03125,3.520271062850952,911200
1990-07-30,9.0,9.0,8.875,8.9375,3.483732223510742,347200
1990-07-31,8.90625,9.03125,8.90625,8.96875,3.49590802192688,559600
1990-08-01,8.90625,8.90625,8.375,8.71875,3.3984625339508057,1346000
1990-08-02,8.78125,8.875,8.5625,8.65625,3.3740999698638916,792000
1990-08-03,8.65625,8.65625,8.28125,8.46875,3.301015615463257,1576000
1990-08-06,8.125,8.25,7.875,8.125,3.1670267581939697,2488800
1990-08-07,8.25,8.5625,8.1875,8.5,3.3131966590881348,2211600
1990-08-08,8.53125,8.5625,8.40625,8.46875,3.301015615463257,815600
1990-08-09,8.46875,8.53125,8.3125,8.53125,3.3253777027130127,748000
1990-08-10,8.5,8.59375,8.46875,8.46875,3.301015615463257,782400
1990-08-13,8.40625,8.65625,8.375,8.59375,3.349740743637085,431600
1990-08-14,8.5625,8.59375,8.5,8.53125,3.3253777027130127,576400
1990-08-15,8.5625,8.65625,8.5625,8.625,3.36191987991333,604400
1990-08-16,8.59375,8.59375,8.5,8.5,3.3131966590881348,1036000
1990-08-17,8.5,8.5,8.25,8.46875,3.301015615463257,572800
1990-08-20,8.5,8.6875,8.46875,8.625,3.36191987991333,679600
1990-08-21,8.59375,8.59375,8.34375,8.4375,3.2888343334198,958400
1990-08-22,8.5,8.53125,7.9375,7.96875,3.106121063232422,1239200
1990-08-23,7.75,7.875,7.5,7.78125,3.033036231994629,1237600
1990-08-24,7.8125,7.9375,7.8125,7.875,3.0695788860321045,894400
1990-08-27,8.125,8.25,8.125,8.21875,3.2035696506500244,438400
1990-08-28,8.15625,8.375,8.125,8.21875,3.2035696506500244,399200
1990-08-29,8.21875,8.4375,8.21875,8.3125,3.2401108741760254,310400
1990-08-30,8.375,8.4375,8.1875,8.21875,3.2035696506500244,506800
1990-08-31,8.125,8.1875,8.0625,8.15625,3.213416576385498,502400
1990-09-04,8.21875,8.28125,8.125,8.125,3.2011067867279053,887600
1990-09-05,8.15625,8.21875,8.09375,8.21875,3.238042116165161,440000
1990-09-06,8.21875,8.28125,8.1875,8.21875,3.238042116165161,811200
1990-09-07,8.21875,8.28125,8.1875,8.21875,3.238042116165161,2466000
1990-09-10,8.25,8.28125,8.125,8.15625,3.213416576385498,526800
1990-09-11,8.125,8.125,8.0625,8.09375,3.188796043395996,523200
1990-09-12,8.03125,8.0625,7.875,7.96875,3.1395463943481445,1052000
1990-09-13,7.96875,7.96875,7.59375,7.625,3.0041160583496094,1995200
1990-09-14,7.53125,7.65625,7.3125,7.40625,2.91793155670166,1543600
1990-09-17,7.34375,7.4375,7.3125,7.3125,2.8809969425201416,537600
1990-09-18,7.3125,7.34375,6.9375,7.0,2.7578752040863037,1678000
1990-09-19,7.03125,7.0625,6.75,6.8125,2.6840038299560547,1919200
1990-09-20,6.75,6.75,6.4375,6.5,2.5608859062194824,1636000
1990-09-21,6.625,6.65625,6.5,6.59375,2.5978212356567383,1830400
1990-09-24,6.53125,6.5625,6.3125,6.34375,2.4993250370025635,2034800
1990-09-25,6.3125,6.34375,6.25,6.34375,2.4993250370025635,1468400
1990-09-26,6.34375,6.34375,5.8125,5.8125,2.2900218963623047,1388400
1990-09-27,4.5,5.0625,4.5,5.03125,1.982223391532898,6604800
1990-09-28,5.0,5.375,4.875,5.34375,2.1053428649902344,4052800
1990-10-01,5.5,5.5,5.40625,5.4375,2.142277717590332,1681600
1990-10-02,5.53125,5.625,5.4375,5.46875,2.1545908451080322,1539200
1990-10-03,5.46875,5.46875,5.15625,5.25,2.068406581878662,3240000
1990-10-04,5.25,5.25,5.125,5.21875,2.0560948848724365,1162000
1990-10-05,5.15625,5.34375,5.09375,5.1875,2.0437827110290527,1584800
1990-10-08,5.1875,5.25,5.0,5.1875,2.0437827110290527,1024800
1990-10-09,5.15625,5.1875,5.03125,5.03125,1.982223391532898,970800
1990-10-10,5.0625,5.15625,4.875,4.875,1.9206633567810059,1186800
1990-10-11,4.875,4.90625,4.6875,4.6875,1.846792459487915,1985600
1990-10-12,4.75,4.8125,4.625,4.8125,1.8960402011871338,1468400
1990-10-15,4.90625,5.375,4.84375,5.3125,2.093031406402588,2034000
1990-10-16,5.25,5.375,5.25,5.28125,2.080719232559204,1542400
1990-10-17,5.25,5.25,5.0,5.09375,2.006847381591797,3794400
1990-10-18,5.0,5.0625,4.6875,4.875,1.9206633567810059,6161200
1990-10-19,4.9375,4.96875,4.71875,4.78125,1.8837288618087769,2868800
1990-10-22,4.8125,4.875,4.71875,4.875,1.9206633567810059,1798800
1990-10-23,4.84375,4.84375,4.6875,4.71875,1.859104037284851,1519600
1990-10-24,4.6875,4.8125,4.625,4.78125,1.8837288618087769,1552800
1990-10-25,4.78125,4.8125,4.71875,4.71875,1.859104037284851,1388000
1990-10-26,4.6875,4.71875,4.4375,4.46875,1.7606099843978882,1885200
1990-10-29,4.5,4.53125,4.28125,4.3125,1.6990487575531006,2582000
1990-10-30,4.28125,4.375,4.21875,4.25,1.6744247674942017,3441600
1990-10-31,4.28125,4.5,4.28125,4.3125,1.6990487575531006,2020400
1990-11-01,4.34375,4.625,4.3125,4.625,1.8221677541732788,1734000
1990-11-02,4.65625,5.0,4.65625,4.96875,1.9575998783111572,3064800
1990-11-05,4.90625,5.1875,4.90625,5.09375,2.006847381591797,1321600
1990-11-06,5.0625,5.09375,4.96875,5.03125,1.982223391532898,1480400
1990-11-07,5.03125,5.21875,5.0,5.125,2.0191597938537598,1942800
1990-11-08,5.125,5.4375,5.0625,5.34375,2.1053428649902344,2367200
1990-11-09,5.34375,5.46875,5.25,5.4375,2.142277717590332,1703600
1990-11-12,5.46875,5.84375,5.46875,5.8125,2.2900218963623047,2514800
1990-11-13,5.75,6.0,5.75,5.96875,2.3515818119049072,2712400
1990-11-14,5.9375,6.28125,5.9375,6.09375,2.4008290767669678,4362800
1990-11-15,5.875,5.96875,5.71875,5.8125,2.2900218963623047,5232400
1990-11-16,5.84375,6.125,5.84375,6.125,2.4131410121917725,3804800
1990-11-19,6.1875,6.25,6.15625,6.25,2.4623892307281494,2621200
1990-11-20,6.21875,6.25,6.0,6.25,2.4623892307281494,4211600
1990-11-21,6.25,6.25,6.0,6.0,2.3638932704925537,4176400
1990-11-23,6.0,6.0,5.78125,5.78125,2.2777087688446045,706000
1990-11-26,5.75,6.03125,5.53125,6.0,2.3638932704925537,2443200
1990-11-27,6.0,6.5,5.90625,6.4375,2.536262035369873,2877200
1990-11-28,6.4375,6.4375,6.25,6.25,2.4623892307281494,2738400
1990-11-29,6.25,6.25,5.875,5.96875,2.3515818119049072,1826400
1990-11-30,5.875,6.0625,5.75,6.0,2.3638932704925537,5405600
1990-12-03,5.96875,6.09375,5.90625,5.96875,2.3884036540985107,1527200
1990-12-04,6.0,6.3125,6.0,6.25,2.500945806503296,4621200
1990-12-05,6.3125,6.8125,6.3125,6.625,2.6510043144226074,4508400
1990-12-06,6.8125,6.875,6.25,6.34375,2.5384604930877686,4795200
1990-12-07,6.1875,6.25,6.09375,6.09375,2.4384219646453857,4678800
1990-12-10,6.0,6.28125,5.96875,6.1875,2.475935697555542,1666000
1990-12-11,6.15625,6.25,6.0,6.03125,2.4134128093719482,958000
1990-12-12,6.0,6.0,5.75,5.9375,2.37589955329895,1290000
1990-12-13,5.96875,6.0,5.84375,5.875,2.3508894443511963,1032400
1990-12-14,5.875,5.875,5.6875,5.8125,2.325878381729126,1114000
1990-12-17,5.75,5.75,5.625,5.6875,2.2758610248565674,1016800
1990-12-18,5.65625,6.0,5.65625,6.0,2.400906562805176,1262800
1990-12-19,6.0,6.3125,5.96875,6.21875,2.4884414672851562,2169200
1990-12-20,6.09375,6.46875,6.09375,6.40625,2.5634703636169434,1745200
1990-12-21,6.4375,6.4375,6.25,6.34375,2.5384604930877686,2007600
1990-12-24,6.25,6.3125,6.15625,6.25,2.500945806503296,369200
1990-12-26,6.25,6.3125,6.1875,6.25,2.500945806503296,350800
1990-12-27,6.25,6.25,5.96875,5.96875,2.3884036540985107,894400
1990-12-28,5.875,5.90625,5.71875,5.8125,2.325878381729126,1221200
1990-12-31,5.8125,5.8125,5.6875,5.71875,2.288365602493286,773600
1991-01-02,5.75,5.90625,5.71875,5.8125,2.325878381729126,628000
1991-01-03,5.875,5.875,5.6875,5.75,2.300869941711426,1118000
1991-01-04,5.8125,5.90625,5.78125,5.90625,2.3633928298950195,1108800
1991-01-07,5.84375,5.9375,5.8125,5.8125,2.325878381729126,1163600
1991-01-08,5.78125,5.8125,5.59375,5.625,2.250849962234497,1020800
1991-01-09,5.6875,5.8125,5.5,5.5,2.2008326053619385,1230000
1991-01-10,5.5625,5.59375,5.375,5.4375,2.175821304321289,799600
1991-01-11,5.46875,5.53125,5.4375,5.5,2.2008326053619385,850400
1991-01-14,5.375,5.53125,5.375,5.5,2.2008326053619385,786000
1991-01-15,5.5,5.625,5.46875,5.5625,2.225841999053955,851200
